"GFI116","18A","2","4","FIS","8"
"GFI119","18A","3","3","FIS","5"
"GFI120","18A","3","6","FIS","6"
"GFI121","18A","3","1","FIS","6"
"GMV136","17A","2","1","EDF","9"
"PRG1018","18A","2","5","FIS","5"
"PRG115","15A","2","2","MAT","5"
"PRG118","18A","1","3","FIS","5"
"PRG118","18B","1","1","FIS","6"
"PRG124","24A","3","11","Filosofia","5"
"PRG125","25A","3","30","Let","5"
"PRG1427","27A","1","21","DIR","0"
"PRG1527","27A","1","40","DIR","6"
"PRG1627","27A","1","15","DIR","0"
"PRG1727","27A","1","15","DIR","0"
"PRG1827","27A","1","14","DIR","0"
"PRG215","15A","2","2","MAT","6"
"PRG218","18A","2","6","FIS","7"
"PRG224","24A","3","4","Filosofia","6"
"PRG225","25A","3","21","Let","6"
"PRG226","26A","9","44","Adm Pub","9"
"PRG251","25A","2","31","Let","5"
"PRG252","25A","2","18","Let","6"
"PRG253","25A","3","35","Let","7"
"PRG271","27A","2","31","DIR","8"
"PRG314","14A","2","21","BSI","7"
"PRG314","14B","2","1","BSI","5"
"PRG315","15A","2","11","MAT","7"
"PRG318","18B","4","2","FIS","8"
"PRG324","24A","3","4","Filosofia","7"
"PRG325","25A","3","34","Let","7"
"PRG326","26A","2","38","Adm Pub","8"
"PRG414","14A","14","30","BSI","8"
"PRG415","15A","2","4","MAT","8"
"PRG418","18B","5","4","FIS","9"
"PRG424","24A","3","2","Filosofia","8"
"PRG425","25A","1","1","Let","8"
"PRG515","15A","7","9","MAT","9"
"PRG518","18A","1","3","FIS","8"
"PRG524","24A","1","12","Filosofia","5"
"PRG525","25A","1","17","Let","8"
"PRG618","18A","1","5","FIS","9"
"PRG624","24A","1","8","Filosofia","6"
"PRG625","25A","3","24","Let","8"
"PRG724","24A","2","2","Filosofia","7"
"PRG725","25A","3","26","Let","8"
"PRG818","18A","1","5","FIS","9"
"PRG824","24A","2","3","Filosofia","8"
"PRG825","25A","2","28","Let","8"
"PRG827","27A","1","47","DIR","5"
